ID.Nombre;Producto;Monto;Fecha;Hora
57838788;Chance;4398;1/01/2021;14:34:24
2220999134;Chance;1543;1/01/2021;18:43:03
8337428;Chance;5950;1/01/2021;17:35:59
104507898;Giro;208300;1/01/2021;17:29:26
2122864576;Paquetes de Recargas;6000;1/01/2021;20:05:49
159015006;Giro;106000;1/01/2021;22:07:51
87212084;Paquetes de Recargas;1000;1/01/2021;19:27:37
152639636;Chance;1696;1/01/2021;12:13:55
142779058;Giro;199897;1/02/2021;13:16:29
69141894;Giro;154425;1/02/2021;7:57:40
154188854;Chance;2999;1/02/2021;12:41:53
36796058;Recarga Claro;12000;1/02/2021;10:19:08
16253306;Paquetes de Recargas;10000;1/02/2021;22:46:36
2220967464;Recarga BetPlay;5000;1/02/2021;17:04:07
188928020;Recarga BetPlay;3000;1/02/2021;20:32:51
2147348164;Soat;471105;1/02/2021;20:10:02
127115086;Paquetes de Recargas;6000;1/02/2021;7:57:53
2124161432;Paquetes de Recargas;3000;1/02/2021;11:28:12
131560422;Chance;1000;1/02/2021;12:50:11
2012863314;Recarga BetPlay;50000;1/02/2021;6:59:24
2170357662;Giro;103540;1/02/2021;7:48:12
2040974644;Giro;610089;1/02/2021;19:07:06
2126564132;Giro;199897;1/02/2021;8:18:09
106079324;Chance;1190;1/02/2021;21:07:19
2221177670;Chance;2856;1/02/2021;12:09:04
161455132;Giro;103540;1/02/2021;10:47:45
2386254982;Giro;415165;1/02/2021;14:03:19
166479170;Chance;595;1/02/2021;20:13:02
28425956;Giro;1017832;1/02/2021;14:58:01
2080071652;Giro;103540;1/02/2021;8:07:40
28450670;Giro;124425;1/02/2021;16:58:11
87811870;Giro;52773;1/02/2021;16:19:07
2151317390;Giro;154425;1/02/2021;13:57:16
87281926;Giro;154425;1/02/2021;11:59:56
64513126;Giro;508408;1/02/2021;14:25:49
2256453924;Giro;106000;1/03/2021;10:57:01
83840200;Giro;106000;1/03/2021;13:50:59
2081028266;Giro;104200;1/03/2021;20:05:51
104986880;Giro;33290;1/03/2021;16:02:18
